Nr;Rizikos objekto Id;Padalinys;Vieta;Tarpstotis;Norm_uztv_padetis;sergimoji_nesergimoji;Bendrojo_nebendrojo;Plotis;Pagr_keliu_sk;Nepagr_keliu_sk;Max_keleiv_greitis;Max_krov_greitis;Max_trauk_sk;Max_ekipazu_sk;Max_autobusu_sk;Max_troleibusu_sk;Pervazos_kategorija;Pamainu_sk;Saugo_eismo_tarnyba;Dangos_tipas_prieigose;Dangos_tipas_ant_keliu;Matom_sal_mas_kab_nelyg;Matom_sal_mas_kab_lyg;Matom_sal_ekipaz_des_nelyg;Matom_sal_ekipaz_des_lyg;Matom_sal_ekipaz_kair_nelyg;Matom_sal_ekipaz_kair_lyg;Automat_uztv;Pusautomat_uztv;Mygt_uztv_pran_sv_signal;Mygt_uztv_pran_signal;Mech_uztv_pran_sv_signal;Mech_uztv_pran_signal;Be_signal;Atitv_signal;Automat_sv_signal;Neautomat_sv_signal;Rank_uztv;GSB_EDD_rysys;Radijo_rysys;Video;El_apsv;Prozektoriai;Kap_remonto_data;Pesc_takai;Reikia_kap_rem;Reikia_keisti_post_st;Ivykiai;Ivykio data;Metai;
1;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
2;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
3;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
4;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
5;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
6;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
7;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
8;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
9;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
10;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
